渠道代号,日均UV,平均注册率,平均搜索量,访问深度,平均停留时间,订单转化率,素材类型_gif,素材类型_jpg,素材类型_sp,素材类型_swf,广告类型_banner,广告类型_tips,广告类型_不确定,广告类型_暂停,广告类型_横幅,合作方式_cpc,合作方式_cpd,合作方式_cpm,合作方式_roi,广告尺寸_140*40,广告尺寸_308*388,广告尺寸_390*270,广告尺寸_450*300,广告尺寸_480*360,广告尺寸_600*90,广告尺寸_900*120,广告尺寸_960*126,广告卖点_打折,广告卖点_满减,广告卖点_满赠,广告卖点_满返,广告卖点_直降,广告卖点_秒杀
A203,0.0001,0.1816,0.0206,0.0133,0.1192,0.6552,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
A387,0.0071,0.1023,0.0312,0.0107,0.0139,0.6207,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A388,0.0036,0.0563,0.0511,0.009,0.012,0.1034,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A389,0.0,0.1893,0.3261,0.0331,0.0707,0.3103,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A390,0.0001,0.0716,0.1678,0.0122,0.0032,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A391,0.0,0.3606,0.4007,0.0328,0.1275,0.0345,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A392,0.0001,0.0716,0.0822,0.0075,0.0032,0.1034,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A393,0.0005,0.0818,0.052,0.014,0.0148,0.1034,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A394,0.0019,0.0972,0.0432,0.0141,0.0139,0.1724,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A395,0.0018,0.1125,0.0539,0.0129,0.0134,0.5172,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A396,0.005,0.0537,0.0125,0.011,0.0083,0.6207,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A397,0.0046,0.0512,0.0177,0.0105,0.0083,0.2414,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A398,0.0005,0.0205,0.0181,0.0108,0.0111,0.6897,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A399,0.0,0.0,0.0121,0.0043,0.0,0.4483,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A400,0.0161,0.0384,0.0113,0.0093,0.0115,0.2759,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A401,0.0005,0.0537,0.0136,0.0084,0.0115,0.4828,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A402,0.0001,0.3274,0.0123,0.0067,0.0217,0.3793,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A403,0.0001,0.0,0.0041,0.01,0.0,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A404,0.0008,0.023,0.0135,0.0074,0.0074,0.3448,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A405,0.0013,0.0384,0.0127,0.0067,0.0055,0.7241,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A406,0.0012,0.0793,0.0099,0.0063,0.0125,0.4483,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A407,0.0035,0.0358,0.0091,0.0081,0.012,0.4138,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A408,0.0062,0.0409,0.0118,0.0083,0.012,0.2759,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A409,0.0001,0.0,0.0128,0.0056,0.0079,0.6207,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A410,0.0186,0.0537,0.0111,0.0081,0.012,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A411,0.0157,0.0512,0.0101,0.0143,0.012,0.7586,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A412,0.0,0.0,0.0116,0.0111,0.0,0.5862,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A413,0.0023,0.0742,0.012,0.0084,0.0111,0.1379,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A414,0.1067,0.1535,0.077,0.0295,0.0411,0.5862,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A415,0.0,0.0,0.0147,0.0087,0.0,0.3793,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A416,0.0,0.2455,0.0278,0.0113,0.0115,0.8276,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A417,0.002,0.0921,0.0087,0.0049,0.0189,0.9655,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A418,0.0157,0.0691,0.0088,0.0052,0.0143,0.8966,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A419,0.0047,0.1074,0.0092,0.0049,0.0157,0.8966,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A420,0.0064,0.0307,0.0091,0.0067,0.006,0.7586,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A421,0.0007,0.0409,0.0063,0.0087,0.0111,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A422,0.1298,0.0614,0.0079,0.0135,0.0134,0.6897,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A423,0.0001,0.0,0.006,0.0136,0.0291,0.5862,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A424,0.1062,0.0946,0.0087,0.0153,0.0226,0.931,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A425,0.0059,0.1611,0.0218,0.0251,0.0531,0.2069,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A426,0.0385,0.1125,0.0105,0.0147,0.03,0.8621,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A427,0.0001,0.1355,0.0103,0.0126,0.0185,0.7586,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A428,0.0,0.0,0.0183,0.0093,0.0,0.1379,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A429,0.0,0.0,0.0,0.0084,0.0,0.4138,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A430,0.0001,0.1714,0.0194,0.0077,0.0,0.3793,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A431,0.0162,0.0844,0.0176,0.0195,0.0259,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A432,0.001,0.1049,0.0072,0.0059,0.0079,0.0345,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A433,0.0002,0.046,0.0174,0.0101,0.0226,0.4828,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A434,0.0052,0.1023,0.0079,0.0103,0.0333,0.1724,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A435,0.0404,0.0307,0.0082,0.0102,0.0065,0.4138,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A436,0.0001,0.0,0.0,0.0088,0.0074,0.4483,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A437,0.0157,0.1023,0.0168,0.0182,0.0134,0.2414,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A438,0.0063,0.0895,0.0133,0.016,0.0106,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A439,0.0001,0.0,0.0,0.0031,0.0,0.7931,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A440,0.0002,0.0614,0.0046,0.0124,0.0199,0.6207,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A441,0.0002,0.0,0.0177,0.009,0.0051,0.2069,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A442,0.0,0.0,0.0162,0.0087,0.0,0.8276,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A443,0.0025,0.0051,0.0103,0.0086,0.0069,0.3793,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A444,0.0172,0.0307,0.0115,0.0167,0.0079,0.3793,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A445,0.0002,0.1944,0.0164,0.0125,0.0023,0.6207,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A446,0.0,1.0,0.0,0.0114,0.018,0.4483,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A447,0.0,0.0,0.0111,0.0127,0.0776,0.8966,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A448,0.0139,0.0716,0.0098,0.016,0.0203,0.3448,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A449,0.0011,0.0358,0.0037,0.0155,0.0079,0.1724,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A450,0.0085,0.0486,0.0102,0.014,0.0055,0.8966,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A451,0.0015,0.0384,0.0153,0.0129,0.0268,0.2759,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A452,0.0066,0.087,0.0055,0.0169,0.0134,0.4828,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A453,0.0,0.0,0.0,0.0041,0.0,0.5517,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A454,0.0001,0.1279,0.0,0.0077,0.0055,0.7931,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A455,0.0002,0.0,0.0,0.0035,0.0023,0.7586,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A456,0.0013,0.0077,0.0006,0.001,0.0005,0.4828,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A457,0.005,0.0153,0.0028,0.0023,0.0014,0.1379,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A458,0.0004,0.0,0.0032,0.005,0.0023,0.1034,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A459,0.0003,0.0,0.0013,0.0008,0.0,0.1379,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A460,0.0094,0.0179,0.0016,0.0014,0.0018,0.8276,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A461,0.0091,0.0,0.0017,0.0009,0.0005,0.5517,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A462,0.0003,0.0,0.0035,0.0006,0.0028,0.1034,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A463,0.0007,0.0153,0.0,0.0011,0.0,0.5517,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A464,0.0001,0.0,0.004,0.0005,0.0,0.1379,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A465,0.0003,0.0,0.0065,0.0016,0.0014,0.5862,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A466,0.0001,0.0,0.0,0.0063,0.0,0.8966,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A467,0.0001,0.0,0.0,0.0109,0.0,0.0345,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A468,0.0022,0.0691,0.0014,0.013,0.0069,0.8621,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A469,0.0001,0.4399,0.0055,0.0143,0.0134,0.1034,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A470,0.0009,0.1279,0.002,0.016,0.0065,0.4138,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A471,0.0026,0.0384,0.0129,0.0131,0.0069,0.7931,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A472,0.0002,0.0,0.0082,0.0067,0.0115,0.9655,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A473,0.0006,0.1253,0.0327,0.016,0.0309,0.4483,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A474,0.002,0.1049,0.0275,0.018,0.0152,0.8621,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A475,0.0,0.2558,0.0289,0.0135,0.0,0.6207,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A476,0.0,0.0,0.0652,0.0086,0.0305,0.7241,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A477,0.0019,0.0409,0.0112,0.0087,0.0111,0.5172,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A478,0.0082,0.0486,0.0096,0.0099,0.0111,0.1034,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A479,0.0,0.0,0.0173,0.0073,0.0,0.2759,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A480,0.0001,0.0,0.0199,0.01,0.0115,0.1034,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A481,0.0001,0.0,0.0,0.0041,0.0,0.6207,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A482,0.0,0.0,0.0127,0.0083,0.0,0.7241,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A483,0.0014,0.0486,0.0065,0.0121,0.0125,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A484,0.0067,0.0153,0.0034,0.005,0.0042,0.8966,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A485,0.0,0.0,0.0,0.0162,0.0333,0.9655,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A486,0.0016,0.1509,0.0162,0.0237,0.0337,0.6207,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A487,0.0002,0.0,0.0143,0.0169,0.0448,0.4138,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A488,0.0071,0.0,0.0017,0.0032,0.0,0.7586,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A489,0.0001,0.1432,0.0054,0.0197,0.0263,0.6552,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A490,0.0,0.0,0.0,0.0007,0.0,0.5862,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A491,0.0011,0.0767,0.0096,0.0208,0.0222,0.3448,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A492,0.0349,0.0,0.0016,0.0039,0.0005,0.8621,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A493,0.0004,0.0997,0.0085,0.0176,0.0157,0.1034,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A494,0.0024,0.0972,0.0078,0.011,0.0351,0.1379,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A495,0.0002,0.0,0.002,0.0062,0.0046,0.2759,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A496,0.0046,0.0537,0.0085,0.0128,0.0102,0.3103,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A497,0.0001,0.0665,0.0051,0.0126,0.03,0.4138,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A498,0.0001,0.1432,0.0054,0.0205,0.0286,0.8276,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A499,0.0,0.0,0.0121,0.0162,0.0139,0.5172,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A500,0.0001,0.0,0.0039,0.01,0.0092,0.4828,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A501,0.0005,0.0384,0.0029,0.0101,0.0129,0.931,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A502,0.0005,0.0,0.0,0.0103,0.0009,0.3448,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A503,0.0,0.0,0.0,0.0027,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A504,0.0,0.0,0.0,0.0053,0.0,0.1724,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A505,0.0,0.0,0.0,0.0101,0.0111,0.7241,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
A553,0.0007,0.0409,0.0056,0.0031,0.0042,0.2069,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A554,0.0,0.0,0.0272,0.016,0.0,0.6207,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A555,0.0001,0.0,0.0087,0.0062,0.0199,0.6552,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A556,0.0,0.0,0.0072,0.0071,0.0,0.7931,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A557,0.0017,0.1074,0.0176,0.0225,0.0106,0.2759,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A558,0.0002,0.0,0.0102,0.0024,0.0,0.2759,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A559,0.0008,0.1586,0.0161,0.0209,0.0134,0.2414,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A560,0.0003,0.0332,0.0121,0.0218,0.0129,0.6897,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A561,0.0031,0.1637,0.0159,0.0234,0.0176,0.8276,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A562,0.0013,0.1381,0.0189,0.0252,0.0166,0.4138,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A563,0.0004,0.0742,0.0114,0.013,0.0088,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A564,0.0009,0.2532,0.0157,0.0221,0.0254,0.4483,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A565,0.0012,0.0486,0.0128,0.009,0.0065,0.2069,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A566,0.0012,0.2481,0.0177,0.0183,0.0249,0.6897,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A567,0.0001,0.0,0.0122,0.0188,0.0074,0.9655,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A568,0.0,0.0,0.0679,0.019,0.0,0.5172,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
A844,0.0722,0.0,0.002,0.0146,0.0005,0.3103,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
A845,0.0731,0.0,0.002,0.015,0.0005,0.8621,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
A846,1.0,0.0332,0.0054,0.0107,0.0088,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
A847,0.1607,0.0205,0.0043,0.0223,0.006,0.931,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
A848,0.0716,0.0026,0.0026,0.015,0.0014,0.1379,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
A849,0.2697,0.0102,0.0065,0.0179,0.0042,0.7241,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
A850,0.4771,0.0793,0.0257,0.0254,0.0217,0.3103,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
